id,Year,Author,Title
529,2014,"Unger,Lisa",IntheBlood
530,2014,"Weaver,Ashley",MurderattheBrightwell
531,2015,"Aaronovitch,Ben",FoxgloveSummer
532,2015,"Ahdieh,Renee",TheWrathandtheDawn
533,2015,"Ahlborn,Ania",WithinTheseWalls
534,2015,"Arlen,Tessa",DeathofaDishonorableGentlemen
535,2015,"Atkins,Ace",RobertBParkersKickback
536,2015,"Berry,Steve",ThePatriotThreat
537,2015,"Bolton,Sharon",LittleBlackLies
538,2015,"Box,CJ",Endangered
539,2015,"Bradley,Alan",AsChimneySweepersCometoDust
540,2015,"Child,Lincoln",TheForgottenRoom
541,2015,"Coben,Harlan",TheStranger
542,2015,"Cotterill,Colin",SixandaHalfDeadlySins
543,2015,"Deaver,Jeffery",SolitudeCreek
544,2015,"Elliot,Kendra",Spiraled
545,2015,"Gardner,Lisa",Crash&Burn
546,2015,"Green,Simon",TheDarkSideoftheRoad
547,2015,"Griffiths,Elly",TheGhostFields
548,2015,"Hinton,Lynne",TheCaseoftheSinCitySister
549,2015,"Hunter,Stephen",IRipper
550,2015,"Iles,Greg",TheBoneTree
551,2015,"Jaff,Sophie",LoveisRed
552,2015,"Johnson,Craig",DryBones
553,2015,"Johnston,Tim",Descent
554,2015,"Jones,Darynda",EighthGraveAfterDark
555,2015,"Juba,Stacy",DarkBeforeDawn
556,2015,"Kellerman,Jonathan",Motive
557,2015,"King,LaurieR",DreamingSpies
558,2015,"King,Stephen",FindersKeepers
559,2015,"Knight,Renee",Disclaimer
560,2015,"Knoll,Jessica",LuckiestGirlAlive
561,2015,"Lanyon,Josh",WinterKill
562,2015,"Latham,Jennifer",ScarlettUndercover
563,2015,"Marsons,Angela",EvilGames
564,2015,"Marsons,Angela",SilentScream
565,2015,"Matthews,Jason",PalaceofTreason
566,2015,"McCreight,Kimberly",WhereTheyFoundHer
567,2015,"Mosley,Walter",AndSometimesIWonder
568,2015,"Oliver,Lauren",VanishingGirls
569,2015,"Palmer,Daniel",Desperate
570,2015,"Patterson,James",14thDeadlySin
571,2015,"Patterson,James",Unlucky13
572,2015,"Pearl,Matthew",TheLastBookaneer
573,2015,"Price,Richard",TheWhites
574,2015,"Pulley,DM",TheDeadKey
575,2015,"Quick,Amanda",GardenofLies
576,2015,"Robb,JD",ObsessioninDeath
577,2015,"Ryan,Carrie",DaughterofDeepSilence
578,2015,"Salvalaggio,Karin",BurntRiver
