id	Year	Author	Title	Corpus
363	2015	"Albert,Elisa"	AfterBirth	NYT
364	2015	"Benditt,John"	TheBoatmaker	NYT
365	2015	"Blackwood,Scott"	SeeHowSmall	NYT
366	2015	"Christie,Michael"	IfIFall	NYT
367	2015	"Ciment,Jill"	ActofGod	NYT
368	2015	"Costello,Mary"	Academy Street	NYT
369	2015	"Essbaum,JillAlexander"	Hausfrau	NYT
370	2015	"Fishbane, Joel"	The Thunder of Giants	NYT
371	2015	"Flournoy, Angela"	The Turner House	NYT
372	2015	"Freeman, Anna"	The Fair Fight	NYT
373	2015	"Gattis,Ryan"	All Involved	NYT
374	2015	"Handler,Daniel"	WearePirates	NYT
375	2015	"Hemmings,KauiHart"	ThePossibilities	NYT
376	2015	"Hua,Yu"	TheSeventhDay	NYT
377	2015	"James,Tania"	TheTuskthatDid	NYT
378	2015	"July,Miranda"	TheFirstBadMan	NYT
379	2015	"Kanon,Joseph"	LeavingBerlin	NYT
380	2015	"Knausgaard,Karl"	Dancing in the Dark (My Struggle)	NYT
381	2015	"Metcalf,Ben"	AgainsttheCountry	NYT
382	2015	"Morrison, Toni"	God Help the Child	NYT
383	2015	"NguyenThanh,Viet"	TheSympathizer	NYT
384	2015	"Oates,JoyceCarol"	TheSacrifice	NYT
385	2015	"Scotton,Christopher"	ScretWisdomoftheEarth	NYT
386	2015	"Steinhauer,Olen"	AlltheOldKnives	NYT
387	2015	"Treuer, David"	Prudence	NYT
388	2015	"Tyler,Anne"	ASpoolofBlueThread	NYT
389	2015	"Vaillant,John"	TheJaguarsChildren	NYT
390	2015	"VandenBerg,Laura"	FindMe	NYT
391	2015	"Vann,David"	Aquarium	NYT
392	2015	"Yanagihara,Hanya"	ALittleLife	NYT
393	2015	"Yglesias,Rafael"	TheWisdomofPerversity	NYT
394	2003	"Landay,William"	MissionFlats	MY
395	2005	"Johnson,Craig"	TheColdDish	MY
396	2009	"Flynn,Gillian"	DarkPlaces	MY
397	2009	"Griffiths,Elly"	TheCrossingPlaces	MY
398	2010	"Atkinson,Kate"	StartedEarlyTookMyDog	MY
399	2010	"Burke,JamesLee"	TheGlassRainbow	MY
400	2010	"Connolly,John"	TheWhisperers	MY
401	2010	"Dugoni,Robert"	BodilyHarm	MY
402	2010	"George,Elizabeth"	ThisBodyofDeath	MY
403	2010	"Gerritsen,Tess"	IceCold	MY
404	2010	"Goodman,Carol"	ArcadiaFalls	MY
405	2010	"Hand,Dana"	DeepCreek	MY
406	2010	"King,LaurieR"	TheGodoftheHive	MY
